annee;coordonnees;dep;depcom;libcom;naissances;reg
"2005";"46.8468026106, 5.26448829043";"71";"71093";"La Chapelle-Saint-Sauveur";"6";"26";"NaN"
"2013";"47.0779068845, 3.04792148383";"58";"58124";"Germigny-sur-Loire";"7";"26";"NaN"
"2008";"47.657168298, 5.83264558833";"70";"70525";"Vauconcourt-Nervezain";"5";"43";"NaN"
"2004";"47.9979943949, 0.93157545943";"41";"41053";"Choue";"8";"24";"NaN"
"2005";"47.2198460424, 4.28865681404";"21";"21349";"Liernais";"4";"26";"NaN"
"2007";"45.4301235512, 4.37913997076";"42";"42218";"Saint-Étienne";"2303";"82";"NaN"
"2012";"47.3663925379, 5.46063337832";"21";"21618";"Talmay";"9";"26";"NaN"
"2009";"45.8614554366, 4.1876629386";"42";"42254";"Saint-Marcel-de-Félines";"8";"82";"NaN"
"2009";"47.5978554183, 4.5815867376899995";"21";"21257";"Étormay";"1";"26";"NaN"
"2004";"45.243301665, 3.25239685673";"43";"43125";"Lubilhac";"0";"83";"NaN"
"2006";"48.7981344824, 3.41720461603";"77";"77287";"Meilleray";"3";"11";"NaN"
"2003";"47.1662982943, 5.12029891779";"21";"21319";"Izeure";"10";"26";"NaN"
"2011";"49.5032742592, 5.72907122522";"54";"54314";"Lexy";"29";"41";"NaN"
"2013";"47.0383104584, 5.14163984518";"21";"21333";"Labruyère";"3";"26";"NaN"
"2005";"48.858937632, 2.99380875199";"77";"77270";"Maisoncelles-en-Brie";"8";"11";"NaN"
"2007";"43.9310810991, 2.00269049249";"81";"81112";"Labastide-de-Lévis";"2";"73";"NaN"
"2005";"47.304903513, -1.912669516919999";"44";"44019";"Bouée";"13";"52";"NaN"
"2005";"46.6025646156, 1.31003931373";"36";"36148";"Oulches";"5";"24";"NaN"
"2007";"47.71227944, 2.665495502039999";"45";"45155";"Gien";"218";"24";"NaN"
"2009";"44.0647889391, 0.966661565341";"82";"82109";"Merles";"2";"73";"NaN"
"2012";"48.3176823306, 7.16688865915";"88";"88275";"Lubine";"4";"41";"NaN"
"2011";"43.3366392546, 6.09141410603";"83";"83059";"Forcalqueiret";"27";"93";"NaN"
"2010";"48.3446679064, 6.54438076888";"88";"88318";"Moyemont";"4";"41";"NaN"
"2009";"44.0227123316, 1.04707174068";"82";"82031";"Castelmayran";"13";"73";"NaN"
"2006";"44.1565421874, 1.543511614869999";"82";"82037";"Caussade";"76";"73";"NaN"
"2005";"46.6542492124, 2.01447840786";"36";"36234";"Verneuil-sur-Igneraie";"5";"24";"NaN"
"2013";"43.5319239166, 1.924501413879999";"81";"81001";"Aguts";"1";"73";"NaN"
"2012";"49.4674285357, -1.77803993341";"50";"50401";"Pierreville";"13";"25";"NaN"
"2011";"43.7052468491, 2.12929403349";"81";"81139";"Lautrec";"12";"73";"NaN"
"2010";"48.6689629346, -0.890384424865";"50";"50456";"Saint-Clément-Rancoudray";"5";"25";"NaN"
"2012";"46.9910483853, 5.7033567423200004";"39";"39093";"Chamblay";"6";"43";"NaN"
"2005";"48.5935730965, 5.69702247068";"55";"55097";"Chalaines";"0";"41";"NaN"
"2003";"46.55692328, 6.01610878304";"39";"39367";"Morbier";"17";"43";"NaN"
"2006";"47.9161136655, 5.5757556812699995";"52";"52275";"Lavernoy";"2";"21";"NaN"
"2007";"45.0936836388, 6.0372345748";"38";"38550";"Villard-Reculas";"0";"82";"NaN"
"2005";"48.6718913156, 4.62316728405";"51";"51406";"Norrois";"0";"21";"NaN"
"2004";"46.5315651436, 5.54829278779";"39";"39045";"Beffia";"6";"43";"NaN"
"2013";"46.3003476512, 4.2482812157";"71";"71553";"Vareilles";"1";"26";"NaN"
"2005";"49.5341980923, 1.815311798369999";"60";"60114";"Buicourt";"1";"22";"NaN"
"2003";"47.9589683966, 0.143770981533";"72";"72003";"Allonnes";"127";"52";"NaN"
"2009";"50.6740689994, 3.15464041723";"59";"59163";"Croix";"318";"31";"NaN"
"2007";"46.587490556, 2.87994545903";"03";"03282";"Theneuille";"2";"83";"NaN"
"2006";"50.6609540641, 3.23330964809";"59";"59598";"Toufflers";"41";"31";"NaN"
"2005";"46.5712518334, 3.28275338591";"03";"03200";"Neuvy";"7";"83";"NaN"
"2011";"50.3241135233, 3.45729001727";"59";"59475";"Prouvy";"33";"31";"NaN"
"2012";"47.5015231113, 2.32162111568";"18";"18227";"Sainte-Montaine";"4";"24";"NaN"
"2008";"46.831031386, 5.16095151897";"71";"71364";"La Racineuse";"1";"26";"NaN"
"2006";"42.7837312275, 1.998232151049999";"11";"11265";"Niort-de-Sault";"0";"91";"NaN"
"2004";"43.2622935263, 1.87477238509";"11";"11275";"Payra-sur-l'Hers";"1";"91";"NaN"
"2005";"46.8470958613, 2.28228826634";"18";"18273";"Venesmes";"11";"24";"NaN"
"2010";"49.0768259488, 0.197537877277";"14";"14582";"Saint-Germain-de-Livet";"11";"25";"NaN"
"2006";"46.8142017646, 2.34261889116";"18";"18078";"Crézançay-sur-Cher";"1";"24";"NaN"
"2009";"49.3459718219, -1.05341223436";"14";"14136";"Cardonville";"1";"25";"NaN"
"2010";"45.2998663219, 1.58155594244";"19";"19234";"Saint-Pardoux-l'Ortigier";"5";"74";"NaN"
"2009";"49.1178873364, 0.0412832698412";"14";"14473";"Notre-Dame-de-Livaye";"1";"25";"NaN"
"2008";"49.1624080403, -0.826461213535";"14";"14506";"Planquery";"0";"25";"NaN"
"2011";"45.0563342157, 1.50252648148";"19";"19147";"Nespouls";"5";"74";"NaN"
"2005";"44.7577269067, -0.397181377193";"33";"33263";"Madirac";"2";"72";"NaN"
"2009";"43.9878674787, 0.546160014237";"32";"32195";"Larroque-Engalin";"0";"73";"NaN"
"2010";"43.354036783, 2.58187245659";"34";"34097";"Félines-Minervois";"5";"91";"NaN"
"2004";"43.5407744121, 3.49239234848";"34";"34047";"Campagnan";"4";"91";"NaN"
"2009";"43.5266707182, 1.34648807644";"31";"31588";"Villeneuve-Tolosane";"114";"73";"NaN"
"2010";"43.1487043658, 0.704879959692";"31";"31536";"Saux-et-Pomarède";"2";"73";"NaN"
"2012";"44.5710681518, -0.111645415983";"33";"33027";"Barie";"4";"72";"NaN"
"2009";"45.6147736513, 4.15456122619";"42";"42105";"Grézieux-le-Fromental";"1";"82";"NaN"
"2007";"47.1082025361, 1.812079859029999";"36";"36170";"Reboursin";"1";"24";"NaN"
"2011";"45.8893402235, 4.31305449394";"42";"42213";"Saint-Cyr-de-Valorges";"3";"82";"NaN"
"2011";"48.2378252875, -2.14354106551";"35";"35234";"Quédillac";"14";"53";"NaN"
"2013";"47.3404974973, 1.67985209939";"41";"41185";"Pruniers-en-Sologne";"27";"24";"NaN"
"2008";"46.5123371526, 2.10013659358";"36";"36073";"Feusines";"2";"24";"NaN"
"2011";"47.474463527, 1.25582446624";"41";"41266";"Valaire";"2";"24";"NaN"
"2005";"48.21225732, -1.57663512362";"35";"35315";"Saint-Sulpice-la-Forêt";"28";"53";"NaN"
"2009";"48.2846714834, -1.893826134939999";"35";"35050";"Cardroc";"13";"53";"NaN"
"2004";"45.6336571325, 0.413391881443";"16";"16323";"Saint-Germain-de-Montbron";"3";"54";"NaN"
"2010";"45.1721196123, 3.08204262828";"15";"15069";"Ferrières-Saint-Mary";"4";"83";"NaN"
"2004";"50.7136140049, 2.333497668839999";"62";"62205";"Campagne-lès-Wardrecques";"9";"31";"NaN"
"2008";"44.9257153749, 2.27440087718";"15";"15088";"Lacapelle-Viescamp";"9";"83";"NaN"
"2013";"50.0545425148, 2.977072654989999";"62";"62494";"Léchelle";"0";"31";"NaN"
"2005";"45.2991036157, -0.212745427895999";"17";"17104";"Chevanceaux";"12";"54";"NaN"
"2008";"50.4709192925, 1.84034009219";"62";"62547";"Marant";"0";"31";"NaN"
"2008";"45.1450926367, 2.49622722458";"15";"15219";"Salers";"2";"83";"NaN"
"2006";"45.0897253064, 3.26165456011";"15";"15229";"Soulages";"0";"83";"NaN"
"2005";"46.0493103798, 0.376687406962";"16";"16054";"Le Bouchage";"0";"54";"NaN"
"2006";"45.6502423808, 5.89790868543";"73";"73328";"Viviers-du-Lac";"20";"82";"NaN"
"2005";"46.0728257803, 6.33057376854";"74";"74007";"Amancy";"19";"82";"NaN"
"2011";"46.0728347147, 3.3660599245";"03";"03044";"Brugheas";"11";"83";"NaN"
"2006";"45.9440370403, 6.08226977374";"74";"74112";"Épagny";"56";"82";"NaN"
"2006";"46.1257380444, 3.00492464249";"03";"03078";"Chouvigny";"1";"83";"NaN"
"2009";"46.2802184824, 6.303990007939999";"74";"74150";"Loisin";"9";"82";"NaN"
"2009";"43.9462808705, 6.37811558709";"04";"04022";"Barrême";"5";"93";"NaN"
"2008";"43.4509092165, 0.342166624419999";"32";"32034";"Bazugues";"1";"73";"NaN"
"2007";"48.2383164259, 0.857009664222";"28";"28111";"Coudray-au-Perche";"4";"24";"NaN"
"2004";"49.5182833727, 3.86386406835";"02";"02676";"Saint-Erme-Outre-et-Ramecourt";"22";"22";"NaN"
"2007";"43.5243197387, 0.760359973861";"32";"32412";"Saramon";"6";"73";"NaN"
"2009";"46.6180197037, 3.1488427846600002";"03";"03002";"Agonges";"1";"83";"NaN"
"2009";"43.4249087979, 2.00114634186";"31";"31569";"Vaudreuille";"7";"73";"NaN"
"2012";"43.687178893, 7.32993632437";"06";"06121";"Saint-Jean-Cap-Ferrat";"4";"93";"NaN"
"2006";"47.1429694401, -1.7140364404000001";"44";"44171";"Saint-Léger-les-Vignes";"21";"52";"NaN"
"2003";"44.4123532588, 4.33204376099";"07";"07306";"Sampzon";"3";"82";"NaN"
"2005";"45.2332759866, 3.94803768811";"43";"43164";"Roche-en-Régnier";"2";"83";"NaN"
"2005";"45.026338574, 4.59724737009";"07";"07085";"Empurany";"4";"82";"NaN"
"2010";"47.1293076835, -1.27378859416";"44";"44108";"Mouzillon";"57";"52";"NaN"
"2006";"44.5838170428, 5.96045927972";"05";"05123";"La Roche-des-Arnauds";"22";"93";"NaN"
"2013";"48.089137016, 3.83985245464";"10";"10422";"Villeneuve-au-Chemin";"2";"21";"NaN"
"2010";"49.5495309711, 4.92206804747";"08";"08430";"Stonne";"0";"21";"NaN"
"2012";"49.25086166, -0.398796097225";"14";"14015";"Anisy";"6";"25";"NaN"
"2005";"49.2067455591, -0.13500245142199901";"14";"14045";"Basseneville";"3";"25";"NaN"
"2006";"48.3240677989, 1.19980049404";"28";"28336";"Saint-Éman";"3";"24";"NaN"
"2008";"47.9011298028, 0.682806358799";"72";"72272";"Sainte-Cérotte";"5";"52";"NaN"
"2007";"48.8211507511, -1.10018701267";"14";"14279";"Fontenermont";"1";"25";"NaN"
"2008";"49.2030787417, 0.135813686591";"14";"14280";"Formentin";"1";"25";"NaN"
"2010";"48.1134838252, 1.44167207684";"28";"28106";"Conie-Molitard";"5";"24";"NaN"
"2010";"44.4471578876, 2.44255701566";"12";"12288";"Valady";"14";"73";"NaN"
"2007";"45.5341655971, 6.21788663815";"73";"73069";"Chamoux-sur-Gelon";"10";"82";"NaN"
"2003";"47.6576802483, -1.67772975598";"44";"44051";"Derval";"34";"52";"NaN"
"2008";"46.1201543813, -0.273287814164";"79";"79348";"Villefollet";"0";"54";"NaN"
"2006";"43.50398297, 4.46396357194";"13";"13096";"Saintes-Maries-de-la-Mer";"27";"93";"NaN"
"2013";"46.2924246809, -0.51369379312";"79";"79034";"Bessines";"22";"54";"NaN"
"2006";"46.2516533293, 2.28716245928";"23";"23026";"Bord-Saint-Georges";"4";"74";"NaN"
"2008";"46.1263946231, -0.326929907334";"79";"79055";"Brieuil-sur-Chizé";"1";"54";"NaN"
"2004";"45.963784452, 2.46736302039";"23";"23055";"Châtelard";"0";"74";"NaN"
"2007";"44.828046683, 1.07371384285";"24";"24006";"Allas-les-Mines";"1";"72";"NaN"
"2011";"45.1259127487, 5.70193593188";"38";"38317";"Le Pont-de-Claix";"170";"82";"NaN"
"2009";"48.5303656854, -2.98952865818";"22";"22206";"Plouagat";"25";"53";"NaN"
"2003";"49.5222569394, 1.84463132714";"60";"60699";"Wambez";"3";"22";"NaN"
"2007";"49.0637803383, 0.662870377669";"27";"27523";"Saint-Clair-d'Arcey";"2";"23";"NaN"
"2008";"48.8842457581, 0.0335930186845";"61";"61291";"Montreuil-la-Cambe";"3";"25";"NaN"
"2007";"48.2518845768, 1.1688416202";"28";"28272";"Mottereau";"1";"24";"NaN"
"2003";"50.0297720966, 3.29193521329";"59";"59624";"Villers-Outréaux";"26";"31";"NaN"
"2009";"48.4458871543, 1.3658542518";"28";"28100";"Cintray";"4";"24";"NaN"
"2008";"50.339831062, 4.01339230045";"59";"59627";"Villers-Sire-Nicole";"12";"31";"NaN"
"2009";"48.2244450667, 1.10899937921";"28";"28123";"Dampierre-sous-Brou";"5";"24";"NaN"
"2007";"50.0758341626, 3.23349040866";"59";"59517";"Les Rues-des-Vignes";"11";"31";"NaN"
"2004";"43.9210570231, 3.50734376894";"30";"30040";"Blandas";"0";"91";"NaN"
"2010";"50.8214340622, 2.58556642469";"59";"59580";"Steenvoorde";"54";"31";"NaN"
"2010";"47.6356797971, 6.34783020976";"70";"70303";"Liévans";"1";"43";"NaN"
"2008";"50.3091545259, 3.02186108116";"62";"62627";"Noyelles-sous-Bellonne";"11";"31";"NaN"
"2013";"45.6247829418, 4.75036810523";"69";"69136";"Montagny";"31";"82";"NaN"
"2008";"50.249116803, 2.72419041642";"62";"62869";"Wailly";"11";"31";"NaN"
"2009";"46.6645308499, 3.91335098661";"71";"71227";"Grury";"4";"26";"NaN"
"2007";"46.2002650376, 2.74850375721";"63";"63011";"Ars-les-Favets";"3";"83";"NaN"
"2005";"47.9241751204, 6.58996774592";"70";"70352";"La Montagne";"0";"43";"NaN"
"2008";"45.8274618701, 3.07331572461";"63";"63042";"Blanzat";"35";"83";"NaN"
"2011";"50.6449906532, 1.97365993925";"62";"62495";"Ledinghem";"4";"31";"NaN"
"2011";"50.1869678717, 1.72060860177";"80";"80600";"Noyelles-sur-Mer";"14";"22";"NaN"
"2013";"50.2775872362, 2.01380158526";"62";"62822";"Tollent";"1";"31";"NaN"
"2006";"43.7287344791, 1.83182396743";"81";"81011";"Ambres";"11";"73";"NaN"
"2013";"49.8238384226, 3.0324181792";"80";"80658";"Quivières";"4";"22";"NaN"
"2009";"50.2910559245, 2.95821572161";"62";"62405";"Hamblain-les-Prés";"10";"31";"NaN"
"2009";"43.8582952155, 2.10793696053";"81";"81211";"Poulan-Pouzols";"4";"73";"NaN"
"2010";"50.0122641772, 1.98145875228";"80";"80488";"Longpré-les-Corps-Saints";"23";"22";"NaN"
"2005";"47.5598733177, 7.31658096209";"68";"68240";"Oberdorf";"3";"42";"NaN"
"2006";"49.8310377933, 2.86663557413";"80";"80509";"Marchélepot";"3";"22";"NaN"
"2008";"48.1008840089, 7.46904401123";"68";"68227";"Muntzenheim";"16";"42";"NaN"
"2004";"49.9467142291, 1.41986298545";"76";"76671";"Sept-Meules";"2";"23";"NaN"
"2010";"47.8815041686, 6.20949435555";"70";"70023";"Anjeux";"3";"43";"NaN"
"2011";"49.6220862325, 0.961800445083";"76";"76234";"Émanville";"5";"23";"NaN"
"2009";"48.9247152564, 2.953840656529999";"77";"77408";"Saint-Fiacre";"5";"11";"NaN"
"2010";"49.8584810142, 0.983755211163";"76";"76004";"Ambrumesnil";"5";"23";"NaN"
"2005";"49.7327387861, 0.598993581488";"76";"76490";"Ourville-en-Caux";"14";"23";"NaN"
"2006";"44.3776230906, 4.80624945597";"26";"26093";"Clansayes";"5";"82";"NaN"
"2009";"49.5338000532, 1.00170847725";"76";"76503";"Pissy-Pôville";"7";"23";"NaN"
"2006";"47.3899184482, 6.26250218169";"25";"25506";"Rougemontot";"0";"43";"NaN"
"2003";"49.7452374787, 0.643304678404999";"76";"76315";"Grainville-la-Teinturière";"7";"23";"NaN"
"2005";"49.5254991004, 1.04877574012";"76";"76402";"Malaunay";"69";"23";"NaN"
"2009";"47.1455882714, 6.04310785947";"25";"25406";"Montrond-le-Château";"4";"43";"NaN"
"2009";"49.6722952773, 0.595727361653";"76";"76607";"Sainte-Marguerite-sur-Fauville";"3";"23";"NaN"
"2011";"49.0197034176, 0.610824280405";"27";"27356";"Jonquerets-de-Livet";"3";"23";"NaN"
"2003";"49.6462799246, 1.3613271065700001";"76";"76461";"Neufbosc";"7";"23";"NaN"
"2005";"49.1018758441, 0.622134982943999";"27";"27398";"Menneval";"10";"23";"NaN"
"2005";"49.3291573194, 1.55624296003";"27";"27437";"Nojeon-en-Vexin";"3";"23";"NaN"
"2005";"50.2889516363, 3.6151652439";"59";"59626";"Villers-Pol";"9";"31";"NaN"
"2011";"48.9972098271, 0.672626255953999";"27";"27513";"Saint-Aubin-des-Hayes";"3";"23";"NaN"
"2008";"49.6064297043, 1.864178798929999";"60";"60571";"Saint-Deniscourt";"0";"22";"NaN"
"2006";"49.2422112638, 1.21540763977";"27";"27537";"Saint-Étienne-du-Vauvray";"8";"23";"NaN"
"2013";"50.780208006, 2.515896365509999";"59";"59536";"Sainte-Marie-Cappel";"11";"31";"NaN"
"2013";"49.0138196072, 1.4516673175200001";"27";"27136";"Chaignes";"6";"23";"NaN"
"2011";"42.8320053922, 0.016390678032200002";"65";"65295";"Luz-Saint-Sauveur";"11";"73";"NaN"
"2004";"49.0485570128, 1.01887133225";"27";"27161";"Claville";"8";"23";"NaN"
"2008";"44.8507243693, 3.951290692139999";"43";"43263";"Vielprat";"0";"83";"NaN"
"2012";"43.4844581655, 0.462191038357";"32";"32394";"Saint-Médard";"5";"73";"NaN"
"2004";"43.4569328563, 0.436935279711";"32";"32042";"Belloc-Saint-Clamens";"0";"73";"NaN"
"2003";"43.4423096627, -0.514147087954";"64";"64144";"Boumourt";"0";"72";"NaN"
"2013";"43.4636060332, 0.245133551575";"32";"32275";"Monpardiac";"0";"73";"NaN"
"2009";"43.3749892489, -1.66133753626";"64";"64189";"Ciboure";"47";"72";"NaN"
"2003";"43.8996297752, 0.306322638694";"32";"32292";"Mouchan";"4";"73";"NaN"
"2007";"43.6034958124, 0.526620389373";"32";"32200";"Lasséran";"3";"73";"NaN"
"2006";"44.6417575332, 3.10788054889";"48";"48091";"Marchastel";"1";"91";"NaN"
"2009";"45.3199496154, 4.89224793347";"38";"38051";"Bougé-Chambalud";"17";"82";"NaN"
"2008";"43.401807303, -1.4751898518";"64";"64547";"Ustaritz";"59";"72";"NaN"
"2011";"44.8410265089, 5.93082364878";"38";"38132";"Les Côtes-de-Corps";"0";"82";"NaN"
"2009";"47.4614234865, -0.0676198362625";"49";"49171";"La Lande-Chasles";"0";"52";"NaN"
"2009";"45.3908938983, 4.98729399155";"38";"38240";"Moissieu-sur-Dolon";"12";"82";"NaN"
"2003";"43.3124691316, 0.159501219686";"65";"65430";"Soréac";"0";"73";"NaN"
"2006";"43.6715162078, 7.15275703379";"06";"06027";"Cagnes-sur-Mer";"538";"93";"NaN"
"2006";"44.5962932231, 0.277882299934";"47";"47047";"Cambes";"0";"72";"NaN"
"2011";"42.9934213357, -0.0313550215399";"65";"65467";"Vier-Bordes";"3";"73";"NaN"
"2008";"46.0252722149, 3.48652009889";"03";"03163";"Mariol";"6";"83";"NaN"
"2004";"44.1249777837, 3.93832235648";"30";"30168";"Mialet";"5";"91";"NaN"
"2007";"44.5556949894, 6.43667418858";"05";"05111";"Puy-Sanières";"1";"93";"NaN"
"2005";"48.7987678214, 7.08515641917";"67";"67159";"Goerlingen";"1";"42";"NaN"
"2007";"47.2459736126, 0.109159987827";"37";"37074";"Chouzé-sur-Loire";"16";"24";"NaN"
"2009";"49.642621281, -1.765034690659999";"50";"50460";"Sainte-Croix-Hague";"6";"25";"NaN"
"2006";"47.2111243782, 0.130191774161";"37";"37242";"Savigny-en-Véron";"23";"24";"NaN"
"2008";"44.4904680879, 3.58785456631";"48";"48081";"Lanuéjols";"2";"91";"NaN"
"2012";"44.7690427693, 5.92456495865";"38";"38241";"Monestier-d'Ambel";"0";"82";"NaN"
"2009";"47.8850612988, 5.99402771513";"70";"70399";"Ormoy";"4";"43";"NaN"
"2004";"45.462997823, 5.11493429723";"38";"38555";"Villeneuve-de-Marc";"18";"82";"NaN"
"2006";"47.7411367393, 6.09066624014";"70";"70236";"Fleurey-lès-Faverney";"11";"43";"NaN"
"2013";"46.4000913267, 5.58894022336";"39";"39016";"Arinthod";"8";"43";"NaN"
"2005";"47.4928980658, 5.57884831818";"70";"70132";"Chargey-lès-Gray";"6";"43";"NaN"
"2009";"49.3375063908, -1.49183766292";"50";"50617";"Varenguebec";"3";"25";"NaN"
"2010";"48.4008313761, 5.13453844457";"52";"52212";"Fronville";"4";"21";"NaN"
"2008";"48.0280199419, 5.28378758426";"52";"52295";"Louvières";"0";"21";"NaN"
"2012";"48.1506188794, 7.31071233803";"68";"68209";"Mittelwihr";"8";"42";"NaN"
"2012";"47.7174045888, 5.67295513235";"52";"52546";"Voncourt";"0";"21";"NaN"
"2005";"45.1910839451, 5.3972824821";"38";"38033";"Beaulieu";"7";"82";"NaN"
"2003";"49.0129643499, 3.89876523906";"51";"51643";"Vinay";"2";"21";"NaN"
"2005";"48.6319604008, 6.5476895613899995";"54";"54507";"Sionviller";"0";"41";"NaN"
"2006";"48.987570023399996, 4.00091885006";"51";"51196";"Cramant";"9";"21";"NaN"
"2003";"48.482398086, -0.291375085093";"53";"53080";"Couptrain";"3";"52";"NaN"
"2005";"48.4607558773, 6.8136260434";"54";"54560";"Veney";"0";"41";"NaN"
"2004";"48.013438147, -0.816955445143";"53";"53157";"Montigné-le-Brillant";"20";"52";"NaN"
"2006";"49.0338833425, 5.70380804793";"55";"55021";"Avillers-Sainte-Croix";"0";"41";"NaN"
"2003";"50.180651266, 3.83355819928";"59";"59344";"Leval";"22";"31";"NaN"
"2012";"47.7940076851, -3.49161886127";"56";"56078";"Guidel";"118";"53";"NaN"
"2003";"50.1280580168, 3.83650655237";"59";"59374";"Marbaix";"5";"31";"NaN"
"2004";"47.5990510677, 6.0303617469";"70";"70158";"Clans";"2";"43";"NaN"
"2012";"50.6652328405, 2.66524376956";"59";"59423";"Neuf-Berquin";"15";"31";"NaN"
"2009";"48.9015745099, -0.730242243885";"14";"14253";"Estry";"8";"25";"NaN"
"2013";"50.2043374368, 3.35238504979";"59";"59502";"Rieux-en-Cambrésis";"18";"31";"NaN"
"2009";"49.248503127, 3.76445343326";"51";"51534";"Serzy-et-Prin";"2";"21";"NaN"
"2005";"50.4858024683, 3.47414949128";"59";"59144";"Château-l'Abbaye";"12";"31";"NaN"
"2013";"49.2048611738, 3.937660338129999";"51";"51622";"Ville-Dommange";"2";"21";"NaN"
"2011";"48.7894502958, -0.322793882131";"61";"61364";"Saint-Aubert-sur-Orne";"0";"25";"NaN"
"2004";"48.7163058306, 4.75359455149";"51";"51284";"Haussignémont";"8";"21";"NaN"
"2003";"49.1303077225, 3.77691947684";"51";"51201";"Cuisles";"NaN";"21";"NaN"
"2008";"49.568875217, 2.6728130469";"60";"60434";"Mortemer";"1";"22";"NaN"
"2003";"48.6892208397, 5.73298818244";"55";"55398";"Pagny-sur-Meuse";"5";"41";"NaN"
"2011";"46.1414668676, 2.35456258635";"23";"23251";"Tardes";"3";"74";"NaN"
"2013";"48.5279445985, -0.36392452272";"61";"61004";"Antoigny";"2";"25";"NaN"
"2008";"49.2717748239, 3.70869393616";"51";"51194";"Courville";"7";"21";"NaN"
"2011";"48.9156193104, 0.309566800591";"61";"61054";"Le Bosc-Renoult";"5";"25";"NaN"
"2011";"48.5598653758, 4.74815226277";"51";"51269";"Giffaumont-Champaubert";"2";"21";"NaN"
"2012";"48.4923765397, 5.066636417";"52";"52302";"Maizières";"4";"21";"NaN"
"2013";"48.7905539735, -0.178098224902";"61";"61199";"Habloville";"3";"25";"NaN"
"2004";"49.2008681775, 4.11546356735";"51";"51450";"Puisieulx";"2";"21";"NaN"
"2009";"48.4933130424, 0.166961596924";"61";"61224";"Larré";"4";"25";"NaN"
"2005";"49.1069746679, 3.98465817198";"51";"51488";"Saint-Imoges";"1";"21";"NaN"
"2012";"44.1299391525, 6.37179977607";"04";"04072";"Draix";"1";"93";"NaN"
"2011";"47.9037279897, 5.30437368964";"52";"52246";"Humes-Jorquenay";"7";"21";"NaN"
"2006";"46.0632245634, 3.79460612214";"03";"03248";"Saint-Nicolas-des-Biefs";"1";"83";"NaN"
"2012";"48.69506554, 3.65422262759";"51";"51360";"Le Meix-Saint-Epoing";"0";"21";"NaN"
"2006";"44.6342790978, 6.10886829684";"05";"05148";"Saint-Laurent-du-Cros";"5";"93";"NaN"
"2009";"48.8957853925, 4.39011051994";"51";"51538";"Sogny-aux-Moulins";"0";"21";"NaN"
"2008";"43.0299409472, 2.66938593164";"11";"11386";"Talairan";"5";"91";"NaN"
"2011";"49.0293633724, 4.63078861218";"51";"51572";"Tilloy-et-Bellay";"3";"21";"NaN"
"2012";"49.2141375647, 5.91990455999";"54";"54542";"Valleroy";"24";"41";"NaN"
"2005";"44.4799129535, 2.39660455917";"12";"12215";"Saint-Christophe-Vallon";"18";"73";"NaN"
"2005";"49.3473076426, 5.79949172398";"54";"54436";"Preutin-Higny";"2";"41";"NaN"
"2009";"44.4437884405, 2.5250957268";"12";"12254";"Salles-la-Source";"20";"73";"NaN"
"2010";"49.4374801225, 5.37609892461";"55";"55425";"Remoiville";"0";"41";"NaN"
"2008";"43.0818910359, 2.05925585786";"11";"11247";"Monthaut";"0";"91";"NaN"
"2012";"48.7799328844, 5.70340084835";"55";"55258";"Geville";"10";"41";"NaN"
"2007";"43.7649625087, 2.94838918036";"12";"12039";"Brusque";"1";"73";"NaN"
"2013";"49.4590327609, 2.214135215119999";"60";"60251";"Fouquerolles";"3";"22";"NaN"
"2012";"45.6731732382, 3.16405079473";"63";"63455";"Veyre-Monton";"41";"83";"NaN"
"2009";"49.2671813698, -0.516107321362";"14";"14355";"Lantheuil";"8";"25";"NaN"
"2010";"44.9006929748, -0.386356667148";"33";"33483";"Saint-Sulpice-et-Cameyrac";"43";"72";"NaN"
"2012";"43.3803202017, 3.26313194789";"34";"34037";"Boujan-sur-Libron";"37";"91";"NaN"
"2006";"43.8053410404, 4.9488694514";"13";"13064";"Mollégès";"30";"93";"NaN"
"2004";"48.4131956969, -1.14760395074";"35";"35142";"Landéan";"15";"53";"NaN"
"2013";"43.411551859, 5.43796924424";"13";"13107";"Simiane-Collongue";"64";"93";"NaN"
"2009";"48.5755697077, -2.01309736708";"35";"35181";"Le Minihic-sur-Rance";"13";"53";"NaN"
"2006";"48.8516569717, -0.222722260887999";"14";"14180";"Cordey";"1";"25";"NaN"
"2009";"43.6608409227, 3.468896426379999";"34";"34254";"Saint-Félix-de-Lodez";"6";"91";"NaN"
"2005";"48.8324042173, -1.1311665271";"14";"14559";"Saint-Aubin-des-Bois";"3";"25";"NaN"
"2009";"46.6419396973, 5.54481097353";"39";"39306";"Macornay";"8";"43";"NaN"
"2004";"44.070391573, 4.04387785111";"30";"30027";"Bagard";"22";"91";"NaN"
"2012";"43.9938436911, 4.17905217935";"30";"30046";"Boucoiran-et-Nozières";"15";"91";"NaN"
"2010";"46.607697996, 5.9065568623899996";"39";"39131";"La Chaux-du-Dombief";"6";"43";"NaN"
"2009";"43.946680289, 4.75255256222";"30";"30011";"Les Angles";"95";"91";"NaN"
"2011";"45.2063585184, 5.93278209691";"38";"38430";"Saint-Mury-Monteymond";"3";"82";"NaN"
"2012";"43.1465237831, 0.899110471667";"31";"31018";"Arnaud-Guilhem";"1";"73";"NaN"
"2011";"43.4727663351, 1.55123674393";"31";"31162";"Donneville";"11";"73";"NaN"
"2005";"43.0532848166, 0.746258275934";"31";"31167";"Encausse-les-Thermes";"3";"73";"NaN"
