Country Code,City,Location,Pollutant,Source Name,Unit,Value,Last Updated,Country Label,Latitude,Longitude
PL,Malbork,"Malbork, ul. Mickiewicza",SO2,GIOS,µg/m³,1.3,2024-12-07,Poland,54.03124699999999,19.032899
PL,Wschowa,Wschowa ul. Kazimierza Wielkiego,PM10,GIOS,µg/m³,15.0,2024-12-07,Poland,51.799721999999996,16.3175
PL,Sosnowiec,"Sosnowiec, ul. Lubelska",NO2,GIOS,µg/m³,30.2,2024-12-07,Poland,50.285956,19.184399
PL,Wrocław,"Wrocław, wyb. Conrada-Korzeniowskiego",O3,GIOS,µg/m³,12.0,2024-12-07,Poland,51.12937800000001,17.02925
PL,Przemyśl,"Przemyśl, ul. Grunwaldzka",PM10,GIOS,µg/m³,38.5,2024-12-07,Poland,49.784338999999996,22.756238999999997
PL,Opole,"Opole, ul. Koszyka",PM10,GIOS,µg/m³,24.4,2024-12-07,Poland,50.666736,17.899137
PL,Radom,"Radom, ul. Tochtermana",BC,GIOS,µg/m³,2.8,2024-12-07,Poland,51.39908400000001,21.147474
PL,Łódź,"Łódź, al. Jana Pawła II",BC,GIOS,µg/m³,0.43,2024-01-03,Poland,51.754613,19.434925
PL,Augustów,"Augustów, Uzdrowisko",NO2,GIOS,µg/m³,5.8,2024-12-07,Poland,53.852549999999994,22.984686
PL,Elbląg,"Elbląg, ul. Bażyńskiego",O3,GIOS,µg/m³,16.2,2024-12-07,Poland,54.167847,19.410942000000002
PL,Gdynia,"Gdynia, ul. Porębskiego",PM10,GIOS,µg/m³,36.1,2024-12-07,Poland,54.56083600000001,18.493331
PL,Tychy,"Tychy, ul. Tołstoja",PM10,GIOS,µg/m³,15.5,2024-12-07,Poland,50.099903000000005,18.990236
PL,Kołobrzeg,"Kołobrzeg, ul. Żółkiewskiego",PM10,GIOS,µg/m³,14.7,2024-12-07,Poland,54.179381,15.596347
PT,Aveiro,Anta-Espinho,NO2,eea,µg/m³,2.9,2024-11-30,Portugal,40.99944399986209,-8.623332999992526
PT,Porto,Mindelo-Vila do Conde,O3,eea,µg/m³,11.0,2024-11-30,Portugal,41.30861100021069,-8.720833000420624
RO,Arad,AR-1,NO2,eea,µg/m³,9.994095,2024-09-07,Romania,46.18113599987398,21.335018999597406
RO,Galaţi,RO0143A,O3,EEA Romania,µg/m³,54.88082451,2024-01-29,Romania,45.4729499994633,28.03394
RO,Arad,RO0096A,O3,EEA Romania,µg/m³,9.10021111,2024-01-29,Romania,46.1905517594637,21.3024826
RO,Giurgiu,RO0209A,CO,EEA Romania,µg/m³,2349.56354,2024-01-29,Romania,43.8754389994635,25.931781
RS,Novi Sad,Novi Sad-Rumenacka,PM10,eea,µg/m³,24.054333333333,2024-08-01,Serbia,45.26262600023685,19.819015999607064
RS,Belgrade,Belgrade-Mostar,NO2,eea,µg/m³,53.66003,2024-08-01,Serbia,44.79874600031132,20.450183999921396
RS,Belgrade,Belgrade-Mostar,PM2.5,eea,µg/m³,7.983,2024-08-01,Serbia,44.79874600031132,20.450183999921396
RS,Čačak,Čačak,PM2.5,serbia,µg/m³,9.7071666666667,2024-07-31,Serbia,43.893316,20.345513
RS,Čačak,Čačak,SO2,serbia,µg/m³,22.266452583333,2024-07-31,Serbia,43.893316,20.345513
RS,Kraljevo,Kraljevo,PM2.5,serbia,µg/m³,11.3165,2024-07-31,Serbia,43.728017,20.693602
SE,Stockholm,Stockholm Torkel Knutssongatan,NO2,eea,µg/m³,2.90079,2024-07-31,Sweden,59.31600699960514,18.057807000150817
SI,Koper,Koper,PM10,Slovenian Environment Agency,µg/m³,25.0,2024-08-01,Slovenia,45.54329,13.718135
SK,Poprad,"""Ganovce""",NO2,eea,µg/m³,16.5545,2024-08-01,Slovakia,49.03465899973711,20.322810999928688
SK,Nitra,"""Nitra - Sturova""",NO2,eea,µg/m³,15.3214,2024-07-09,Slovakia,48.30945599969919,18.076831000215037
TH,Rayong,Health Promotion Hospital Maptaput,PM10,Air4Thai,µg/m³,33.0,2024-07-06,Thailand,12.70865,101.1659833
TH,Bangkok,"Don Mueng District Office, Bangkok",PM2.5,Air4Thai,µg/m³,23.6,2024-04-04,Thailand,13.910986,100.594877
TH,Bangkok,Lumpini park,PM2.5,Air4Thai,µg/m³,22.9,2024-02-28,Thailand,13.732225,100.5448381
FI,Raahe,Lapaluoto,SO2,eea,µg/m³,17.7917347,2024-12-07,Finland,64.66769000013363,24.41927999965532
FI,Pori,Pori Paanakedonkatu,PM2.5,eea,µg/m³,8.671708,2024-12-07,Finland,61.48225999984927,21.81328999976638
FI,Pori,Pori Paanakedonkatu,PM10,eea,µg/m³,9.146055,2024-12-07,Finland,61.48225999984927,21.81328999976638
FR,Évreux,Evreux Centre,PM10,eea,µg/m³,17.5,2024-12-07,France,49.02133999977332,1.1483189995666427
FR,Gravelines,Gravelines PC/Drire,SO2,eea,µg/m³,0.0,2024-11-27,France,50.98106000001642,2.1431700001489395
FR,Saint-Estève,Perpignan St Esteve,O3,eea,µg/m³,43.5,2024-12-05,France,42.71979999993561,2.83987999987422
FR,Creil,Faiencerie Creil,PM10,eea,µg/m³,16.4,2024-12-07,France,49.25955200025786,2.474397000355699
FR,Biarritz,Biarritz-hippodrome,NO2,eea,µg/m³,3.9,2024-12-07,France,43.47023799995679,-1.553876000216595
FR,Caen,Caen Chemin-Vert,PM10,eea,µg/m³,14.6,2024-12-07,France,49.19222000003276,-0.3911110003265554
FR,Caen,Caen Chemin-Vert,PM2.5,eea,µg/m³,8.3,2024-12-07,France,49.19222000003276,-0.3911110003265554
FR,Calais,Calais Berthelot,PM10,eea,µg/m³,21.4,2024-12-07,France,50.947290000026065,1.8430800000784526
FR,Metz,Metz-Centre,O3,eea,µg/m³,57.0,2024-12-07,France,49.11944200020038,6.180832999656292
FR,Harnes,Harnes Serres,NO2,eea,µg/m³,3.7,2024-12-07,France,50.44913999983644,2.899999999995568
DE,Berlin,Berlin Wedding,NO,eea,µg/m³,8.41,2024-03-11,Germany,52.543040999981905,13.349326000418548
DE,Berlin,Berlin Schildhornstraße,NO2,eea,µg/m³,16.33,2024-12-07,Germany,52.463610999810946,13.318250000381642
DE,Berlin,Berlin Friedrichshagen,PM2.5,eea,µg/m³,3.6,2024-12-07,Germany,52.4476970001466,13.647049999727415
DE,Fulda,Fulda Zentral,PM2.5,eea,µg/m³,5.862549,2024-12-07,Germany,50.546384000157445,9.680166999695915
DE,Jork,Altes Land,PM2.5,eea,µg/m³,7.5415,2024-12-07,Germany,53.52417999973529,9.685029999842092
DE,Jena,Jena Dammstr.,PM10,eea,µg/m³,8.687856,2024-12-07,Germany,50.933512999794274,11.597061999658434
DE,Hannover,Hannover Verkehr,CO,eea,µg/m³,208.475,2024-12-07,Germany,52.35947800023852,9.71549999998159
DE,Hildesheim,Hildesheim Verkehr,CO,eea,µg/m³,217.597,2024-12-07,Germany,52.15077499996904,9.950222999644994
DE,Wildau,Wildau,NO2,eea,µg/m³,10.0,2024-12-07,Germany,52.32403299995439,13.621246000090599
DE,Potsdam,Potsdam-Zentrum,NO2,eea,µg/m³,5.0,2024-12-07,Germany,52.40139000019726,13.060160000191525
DE,Berlin,Berlin Buch,O3,eea,µg/m³,20.51,2024-12-07,Germany,52.64416899993952,13.48307899995077
DE,Aachen,Aachen-Burtscheid,O3,eea,µg/m³,56.444,2024-12-07,Germany,50.7547290001636,6.093825999974747
DE,Neuwied,Neuwied-Hermannstraße,PM10,eea,µg/m³,19.61395,2024-12-07,Germany,50.431438999741395,7.460717999890311
DE,Ottweiler,Ottweiler,NO2,eea,µg/m³,6.48,2024-12-07,Germany,49.39950299984938,7.16557499963159
DE,Weimar,Weimar Schwanseestr.,PM2.5,eea,µg/m³,7.591302,2024-12-07,Germany,50.982185000049384,11.321016999982092
EE,Kohtla-Järve,"""Kohtla-Järve""",CO,eea,µg/m³,233.986,2024-12-07,Estonia,59.40972518967773,27.27862166957997
ES,La Rioja,ES1753A,SO2,EEA Spain,µg/m³,2.4,2024-01-29,Spain,42.3399999994653,-2.05972
ES,Buñol,BUÑOL CEMEX,PM2.5,eea,µg/m³,1.0,2024-11-29,Spain,39.42722221977051,-0.7838888803583423
ES,Valencia,VALÈNCIA - MOLÍ DEL SOL,O3,eea,µg/m³,41.0,2024-12-07,Spain,39.48110000007909,-0.40830000008180417
ES,Valencia,VALÈNCIA - MOLÍ DEL SOL,SO2,eea,µg/m³,3.0,2024-12-07,Spain,39.48110000007909,-0.40830000008180417
ES,Madrid,ES1806A,O3,EEA Spain,µg/m³,64.0,2024-01-29,Spain,40.2869399994701,-3.22222
ES,Lugo,ES0016R,O3,EEA Spain,µg/m³,75.21,2024-01-29,Spain,42.6347199994649,-7.704719999999999
ES,Tarragona,TARRAGONA (UNIVERSITAT LABORAL),NO2,eea,µg/m³,5.0,2024-12-07,Spain,41.103677887237254,1.2007650623216548
FR,Chartres,Fulbert,PM2.5,eea,µg/m³,5.1,2024-12-07,France,48.444416000256105,1.5101389999365489
FR,Orléans,Gambetta,NO,eea,µg/m³,25.9,2024-03-11,France,47.90708000006069,1.901138999935022
FR,Melun,RN6-MELUN,NO2,eea,µg/m³,16.3,2024-12-07,France,48.52805700012826,2.6536110001488558
FR,Fontainebleau,Zone Rurale SE,NO,eea,µg/m³,1.6,2024-03-11,France,48.354700000193844,2.6453000000409044
FR,Montgeron,MONTGERON,NO2,eea,µg/m³,6.0,2024-12-07,France,48.706699999881124,2.4572000002045304
FR,Le Havre,Le Havre Lafaurie-montant,NO,eea,µg/m³,17.4,2024-03-11,France,49.50018700022254,0.11090300011277074
FR,Montlhéry,RN20 - MONTLHERY,PM2.5,eea,µg/m³,7.7,2024-12-05,France,48.6409299998147,2.2687200004265597
FR,Bouguenais,LES COUETS,NO2,eea,µg/m³,1.7,2024-12-07,France,47.185919999766476,-1.591497199973763
FR,Périgueux,PERIGUEUX,O3,eea,µg/m³,59.7,2024-12-07,France,45.18982299981406,0.7271840000627398
FR,Saint-Junien,ST JUNIEN - Fontaine,NO2,eea,µg/m³,0.1,2024-12-07,France,45.88485000013934,0.89843099970453
FR,Bordeaux,GRAND PARC,NO,eea,µg/m³,2.3,2024-03-11,France,44.86120999988481,-0.5803700002542934
FR,Talence,TALENCE,PM10,eea,µg/m³,1.8,2024-12-07,France,44.80045999978738,-0.5893979996894178
FR,Mont-De-Marsan,MONT-DE-MARSAN - MIDOUZE,PM2.5,eea,µg/m³,11.2,2024-12-07,France,43.88897299969277,-0.507028000198241
FR,Billère,BILLERE,O3,eea,µg/m³,63.3,2024-12-07,France,43.31080000018875,-0.39154300014668847
FR,Blois,Blois nord,PM2.5,eea,µg/m³,1.7,2024-12-07,France,47.59425699982933,1.3026669998814107
FR,Nîmes,Nimes Gauzy,NO2,eea,µg/m³,38.0,2024-12-07,France,43.83440000024367,4.3743999997655765
